时间,标签,事件,内容
2020.04.25,すべてお知らせ,「4月クランバトル」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/25(土)05:00から「4月クランバトル」を開催中です！クランバトルでは、クランごとに…
2020.04.24,すべてお知らせイベント,復刻ストーリーイベント「アストルムに咲く双輪の華」開催終了！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/24(金)21:00に、復刻ストーリーイベント「アストルムに咲く双輪の華」の開催期間が終了…
2020.04.24,お知らせ,「ぷりこねっ！りだいぶ」第179話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第179話を掲載しました！■4コマ「…
2020.04.24,すべてお知らせ,ダンジョンにおいて、エラーが発生する不具合について,プリンセスコネクト！Re:Dive運営事務局です。ダンジョンにおいて、下記の不具合が発生していたことを確認しました。■発生していた不具合ダンジョン画面に移…
2020.04.24,すべてお知らせイベント,ストーリーイベント「まきばの四農士,貧乏牧場奮闘記！」開催決定！プリンセスコネクト！Re:Dive運営事務局です。2020/04/30(木)12:00から、ストーリーイベント「まきばの四農士貧乏牧場奮闘記！」の開催が決…
2020.04.24,すべてお知らせ,「復刻限定キャラ,プライズガチャ」開催！期間限定キャラ再登場！プリンセスコネクト！Re:Dive運営事務局です。2020/04/24(金)12:00から「復刻限定キャラプライズガチャ」を開催中です！また、期間限定キ…
2020.04.24,すべてお知らせ,「ジュエル・その他購入」に「毎日更新,ジュエル500個」を期間限定で追加！プリンセスコネクト！Re:Dive運営事務局です。2020/04/24(金)12:00から「ジュエル・その他購入」に「毎日更新ジュエル500個」を期間限…
2020.04.21,すべてお知らせ,ミッション画面の「称号」タブに「リン（デレマス）を★5にしよう」が表示されない不具合について【04/24,12:55追記】プリンセスコネクト！Re:Dive運営事務局です。ゲーム内において、下記の不具合を確認しております。■確認している不具合特定の条件下において、ミッション画…
2020.04.22,すべてお知らせ,「4月クランバトル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/25(土)05:00から「4月クランバトル」を開催します！また、今回のクランバトルから、…
2020.04.21,お知らせ,「ぷりこねっ！りだいぶ」第178話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第178話を掲載しました！■4コマ「…
2020.04.22,すべてお知らせ,「聖跡調査」「神殿調査」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/22(水)05:00から「聖跡調査」「神殿調査」ドロップ量2倍キャンペーンを開始しました。…
2020.04.22,すべてお知らせ,「ハードクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/22(水)05:00から「ハードクエスト」ドロップ量2倍キャンペーンを開始しました！！キ…
2020.04.21,お知らせ,レイが「カウンタースラッシュ」を使用した際、特定の条件下でバトルが終了しない不具合について【04/24(金),12:35追記】プリンセスコネクト！Re:Dive運営事務局です。ゲーム内において、下記の不具合を確認しております。■確認している不具合・レイが「カウンタースラッシュ」を…
2020.04.20,すべてお知らせ,「タマキ」の★6才能開花が登場決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/30(木)に、下記キャラの「★6才能開花」の登場を予定しております。■★6才能開花の登場予…
2020.04.17,すべてお知らせ,「聖テレサ女学院（なかよし部）の合計絆ランクを10にしよう」の称号ミッションの達成状況が正しく表示されない不具合について,プリンセスコネクト！Re:Dive運営事務局です。ゲーム内にて、特定の条件下で「聖テレサ女学院（なかよし部）の合計絆ランクを10にしよう」の称号ミッションの達…
2020.04.18,すべてお知らせ,「4月クランバトル」モード変更開始！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/18(土)12:00から、4月クランバトルのモード変更期間です。今回のクランバトルから、…
2020.04.17,お知らせ,「ぷりこねっ！りだいぶ」第177話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第177話を掲載しました！■4コマ「…
2020.04.17,お知らせ,「アストルムに咲く双輪の華,復刻記念RTキャンペーン」開催プリンセスコネクト！Re:Dive運営事務局です。ストーリーイベント「アストルムに咲く双輪の華」の復刻を記念して「アストルムに咲く双輪の華復刻記念RTキャン…
2020.04.17,すべてお知らせイベント,復刻ストーリーイベント「アストルムに咲く双輪の華」開催中！【2020/04/17(金),14:25追記】プリンセスコネクト！Re:Dive運営事務局です。2020/04/17(金)12:00から「神撃のバハムート&マナリアフレンズ」との復刻コラボレー…
2020.04.17,すべてお知らせイベント,「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/17(金)12:00から「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン…
2020.04.15,お知らせ,「ぷりこねっ！りだいぶ」第176話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第176話を掲載しました！■4コマ「…
2020.04.15,すべてお知らせ,新キャラ「チエル」登場！ピックアップガチャはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。新キャラ「チエル」がピックアップガチャとプラチナガチャから登場！ピックアップガチャでは「チエル」の提供割合…
2020.04.15,すべてお知らせ,「★3確定プラチナガチャ」開催！対象キャラにはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/15(水)15:00から、期間限定で「★3確定プラチナガチャ」を開催中です！★3確定プラ…
